,REGNO
1278,22373013
2157,22373014
2074,22373018
1397,22373023
1381,22374022
373,22374029
1536,22375008
1059,22376004
1465,22376028
2172,224SU2200022
806,22501017
1118,22501029
2277,22503004
837,22CU0310215
768,22CU0320101
2156,23112412
2196,23133006
2327,23aAU0010046
5,23AU0010012
1430,23AU0010019
1284,23AU0010028
1878,23AU0010035
231,23AU0010038
172,23AU0010046
1229,23AU0010052
1062,23AU0010055
1060,23AU0010056
1389,23AU0010064
1879,23AU0010086
1647,23AU0010098
334,23AU0010112
687,23AU0010113
928,23AU0010115
462,23AU0020008
2006,23AU0020016
20,23AU0020018
1412,23AU0020025
1112,23AU0020027
1413,23AU0020030
2007,23AU0020038
1629,23AU0020056
2235,23au0020064
1442,23AU0020068
999,23AU0020074
1293,23AU0020076
1121,23AU0020077
188,23AU0020080
2233,23AU0020082
1752,23BU1210007
1954,23cj0390018
1058,23CP2160005
1709,23CP2160009
2278,23CP2160047
2280,23CP2160054
527,23CP2160060
1064,23CP2170009
1055,23CP2170013
1708,23CP2170014
1227,23CP2180005
2015,23CP2180016
1036,23CP2190004
137,23CP2190007
789,23CP2190009
2103,23CP2190010
1650,23CP2190011
1034,23CP2190012
1032,23CP2190013
1196,23CP2190028
1925,23CP2190032
518,23CP219010
1715,23CP2200002
1717,23CP2200007
1421,23CP2210007
2183,23CU0310003
1712,23CU0310016
422,23CU0310026
746,23CU0310030
916,23CU0310034
1745,23cu0310039
788,23CU0310045
1790,23CU0310046
810,23CU0310047
526,23CU0310052
1777,23CU0310064
2218,23CU0310065
140,23CU0310066
744,23CU0310067
1586,23CU0310069
2212,23CU0310075
2176,23CU0310078
1354,23CU0310082
1916,23CU0310083
128,23CU0310085
96,23CU0310087
1772,23CU0310097
1865,23CU0310100
639,23CU0310101
1417,23CU0310102
287,23CU0310111
396,23cu0310115
479,23CU0310120
1612,23CU0310121
480,23CU0310135
328,23CU0310142
1924,23CU0310144
1115,23CU0310148
1711,23CU0310149
206,23CU0310150
246,23CU0310151
1861,23CU0310152
1308,23CU0310153
323,23CU0310160
803,23CU0310164
867,23CU0310172
322,23cu0310175
2097,23CU0310175
1167,23CU0310182
226,23CU0310186
2165,23CU0310190
1918,23CU0310192
1094,23CU0310193
1418,23CU0310208
702,23CU0310212
2213,23CU0310216
637,23CU0310221
1756,23CU0310228
1747,23CU03102330
1502,23CU0310234
733,23CU0310236
1603,23CU0310242
143,23CU0310245
107,23CU0310247
52,23CU0310250
1474,23CU0310252
1305,23CU0310254
1526,23CU0310257
943,23CU0310258
781,23CU0310261
424,23CU0310264
134,23CU0310268
41,23CU0310273
1780,23cu0310278
2098,23CU0310279
1498,23CU0310287
2028,23CU0310290
185,23CU0310292
796,23CU0310297
2014,23CU0310309
1857,23CU0310312
1720,23CU0310315
1223,23CU0310324
2089,23cu031033
1781,23CU0310332
1856,23CU0310334
1416,23CU0310337
1587,23CU0310340
1302,23CU0310345
1860,23CU0310350
1863,23CU0310358
731,23CU0310360
139,23CU0310363
1979,23CU0310369
875,23CU0310370
1789,23CU0310372
2181,23CU0310374
1026,23CU0310385
2216,23CU0310388
1600,23CU0310398
1528,23CU0310403
1212,23CU0310409
1404,23CU0310410
831,23CU0310412
1862,23CU0310414
1864,23CU0310415
1525,23CU0310420
1530,23CU0310428
769,23CU0310435
421,23CU0312640
1292,23CU0320001
165,23CU0320005
774,23CU0320006
1294,23CU0320008
1621,23CU0320013
1750,23CU0320016
542,23CU0320017
662,23CU0320019
944,23CU0320021
61,23CU0320027
387,23CU0320029
1311,23CU0320030
1654,23CU0320033
8,23CU0320036
2148,23cu0320042
657,23CU0320042
1974,23CU0320043
658,23CU0320044
2073,23CU0320045
1309,23CU0320047
413,23CU0320048
152,23CU0320050
759,23CU0320051
922,23CU0320053
1287,23CU0320058
361,23CU0320060
923,23CU0320063
2150,23CU0320065
663,23CU032006523DU1810019
366,23CU0320066
1288,23CU0320074
2047,23CU0320076
1579,23CU0320077
1289,23CU0320080
1995,23CU0320081
1476,23cu0320083
1283,23CU0320090
949,23CU0320091
1310,23CU0320095
2072,23CU0320099
1838,23CU0320105
1265,23CU0320107
1264,23CU0320111
1262,23CU0320112
2077,23cu0320122
1636,23CU0320126
782,23CU0320129
667,23CU0330001
2188,23CU0330002
654,23cu0330004
574,23CU0330007
487,23CU0330010
2166,23CU0330012
1519,23CU0330013
350,23CU0330015
2029,23cu0330018
490,23CU0330018
243,23CU0330019
234,23CU0330020
1164,23CU0330026
249,23CU0330029
2030,23CU0330032
1836,23CU0330034
1667,23CU0330038
1876,23CU0330040
2175,23cu0330043
291,23CU0340004
632,23CU0340006
79,23CU0340007
432,23CU034001
629,23CU0340029
640,23CU0340034
1332,23CU0340038
609,23CU0390001
1971,23CU0390015
1833,23CU0390021
1736,23CU0390023
1722,23CU0390025
1607,23CU0390030
1592,23CU0390032
1758,23CU0390034
1340,23CU0390036
76,23CU0390037
1339,23CU0390040
1903,23CU0390050
1719,23CU0390053
451,23CU0390061
1757,23CU0390063
478,23CU0390071
1723,23CU0390074
1724,23CU0390082
2195,23CU0390083
58,23CU0390092
2079,23CU0390098
1608,23CU0390099
998,23CU0390100
1738,23CU0390107
1655,23cu0390108
1619,23CU0390109
1732,23CU0390111
1615,23CU0390112
1441,23CU0390115
1704,23CU0390120
1593,23CU0390121
1591,23CU0390123
1705,23CU0390124
2080,23CU0H30035
1904,23CU390075
1980,23DU1810001
2171,23DU1810007
2094,23DU1810008
2260,23DU1810011
494,23DU1810016
1748,23DU1810017
1749,23DU1810035
1323,23DU1830001
241,23DU1830002
918,23DU1830003
16,23DU1830004
1322,23DU1830005
46,23DU1830008
310,23DU1830009
1661,23DU1830014
83,23DU1830015
1627,23DU1830016
1662,23DU1830017
1039,23DU1830018
1626,23DU1830021
1263,23DU1830022
2027,23DU1830024
36,23DU1830028
